contributor,site_id,long_site,lat_site,gps_accuracy,long_actual,lat_actual,skip_reason,time_submitted,foto_towards_point_compass,lively,relaxing,tranquil,noisy,crowded,safe,beauty,biodiversity,trees,shrubs,lawns,flowers,natveg,benches,play,sports,garbage,veget,paths,facilities,age_cats,gender,dutch,education,visit_freq,visit_daily,alone,oth_parks,more_inv,nature,walking,jogging,biking,relaxing.y,socialising,children,photos,geometry
f899d1239c2f22c7c13f71f135289cce,7.0,4.84786,52.3647,9.0,4.847948000000001,52.36473,noskip,2018-05-18T19:28:20,50.0,2.0,4.0,3.0,2.0,1.0,4.0,8.0,8.0,4.0,4.0,2.0,4.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,1.0,,,6.0,False,,4.0,False,,,,,,,,https://gpcl08.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/1/6a721b51-bb45-4b97-a6c7-ad959893aa34,POINT (4.847948 52.36473)
f899d1239c2f22c7c13f71f135289cce,6.0,4.848669999999999,52.3651,9.0,4.848571,52.36523,noskip,2018-05-18T19:28:21,192.0,2.0,3.0,2.0,4.0,1.0,4.0,4.0,3.0,5.0,1.0,4.0,2.0,3.0,5.0,1.0,1.0,5.0,3.0,4.0,5.0,4.0,1.0,,,6.0,False,,4.0,False,,,,,,,,https://gpcl05.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/2/4a57de8f-7f2c-4700-9ecf-ae651eaef03f,POINT (4.848571 52.36523)
f899d1239c2f22c7c13f71f135289cce,14.0,4.8494,52.365,5.0,4.849469,52.36509,noskip,2018-05-18T19:28:21,235.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,4.0,2.0,2.0,1.0,3.0,1.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,,,6.0,False,,4.0,False,,,,,,,,https://gpcl09.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/3/f1501c98-ade1-4b35-849b-42bd23f3e1cc,POINT (4.849469 52.36509)
bc4d6986852aec0966688eb7c5b97116,9.0,4.84631,52.3637,3.0,4.846344,52.363609999999994,noskip,2018-05-11T14:45:08,91.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,3.0,4.0,3.0,5.0,2.0,False,4.0,4.0,False,True,4.0,False,1.0,False,False,False,False,False,,https://gpcl10.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/4/00d877cb-25d5-4ce5-a086-48e25b64e8dc,POINT (4.846344 52.36361)
bc4d6986852aec0966688eb7c5b97116,7.0,4.84786,52.3647,3.0,4.847765,52.3647,noskip,2018-05-11T14:45:09,102.0,2.0,4.0,3.0,3.0,2.0,4.0,8.0,8.0,5.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,5.0,2.0,False,4.0,4.0,False,True,4.0,False,1.0,False,False,False,False,False,,https://gpcl05.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/5/d7c230b2-d09e-4983-b546-4657e2ca1450,POINT (4.847765 52.3647)
bc4d6986852aec0966688eb7c5b97116,14.0,4.8494,52.365,3.0,4.849423000000001,52.365120000000005,noskip,2018-05-11T14:45:10,46.0,4.0,4.0,4.0,3.0,2.0,3.0,8.0,7.0,5.0,2.0,3.0,5.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,4.0,5.0,2.0,False,4.0,4.0,False,True,4.0,False,1.0,False,False,False,False,False,,https://gpcl07.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/6/165253b9-5b9c-4c12-861b-e393f9e20d9b,POINT (4.849423 52.36512)
8f73ef3fa9a4968740b18e151cee3b0e,21.0,4.8467199999999995,52.3594,5.0,4.846676,52.3594,noskip,2018-05-15T21:58:35,121.0,2.0,4.0,3.0,2.0,3.0,4.0,7.0,5.0,4.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,1.0,False,4.0,5.0,False,False,3.0,True,1.0,False,False,False,False,False,False,https://gpcl07.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/7/5682910e-0ec9-4c7a-8ee6-4046707277c6,POINT (4.846676 52.3594)
8f73ef3fa9a4968740b18e151cee3b0e,24.0,4.8453800000000005,52.3606,10.0,4.845747,52.36056,noskip,2018-05-15T21:58:36,56.0,2.0,3.0,3.0,3.0,2.0,3.0,7.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,False,4.0,5.0,False,False,3.0,True,1.0,False,False,False,False,False,False,https://gpcl03.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/8/6da44152-30a2-4511-8355-b8a453027f43,POINT (4.845747 52.36056)
8f73ef3fa9a4968740b18e151cee3b0e,9.0,4.84631,52.3637,10.0,4.846244,52.36376,noskip,2018-05-15T21:58:36,126.0,4.0,4.0,4.0,2.0,1.0,4.0,8.0,8.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,False,4.0,5.0,False,False,3.0,True,1.0,False,False,False,False,False,False,https://gpcl07.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/9/76162747-5fec-4b97-aaf0-4e8354d0720b,POINT (4.846244 52.36376)
d3ad0400ede74e383e6741aaef57cdf0,30.0,4.84772,52.3673,10.0,4.847856,52.36724,noskip,2018-05-14T13:08:38,269.0,3.0,5.0,5.0,2.0,3.0,3.0,9.0,8.0,5.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.0,6.0,2.0,True,2.0,2.0,False,True,5.0,True,1.0,False,True,True,True,False,,https://gpcl08.geopedia.world/v1/AUTH_1ea448e9-6c0f-4847-a286-64b7d490a622/T2676/F21449/10/6bc480c4-35b3-4021-8b3a-c9099c3e6e62,POINT (4.847856 52.36724)
